type,adress,price,link_image
Chaussures homme,"Sicap Liberté, Dakar, Sénégal",9 500CFA,https://images.coinafrique.com/thumb_5586755_uploaded_image1_1761166890.jpg
Chaussures pour homme,"Mbao, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5583378_uploaded_image1_1760988854.jpg
Sandales en cuir ,"HLM, Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5582962_uploaded_image1_1760973522.jpg
Chaussures pour homme,"Sicap foire, Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5582673_uploaded_image1_1760964398.jpg
Tapettes homme  ,"Almadies, Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5582046_uploaded_image1_1760942525.jpg
Chaussures homme ,"Keur Massar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5581477_uploaded_image1_1760896170.jpg
Baskets Nike Air Max DN,"Fann, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5581422_uploaded_image1_1760893237.jpg
Chaussures orthopédique,"Guediawaye, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5579068_uploaded_image1_1760724420.jpg
Chaussures  homme,"Sacré-Coeur, Dakar, Sénégal",22 000CFA,https://images.coinafrique.com/thumb_5576783_uploaded_image1_1760614360.jpg
Chaussures homme,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5576741_uploaded_image1_1760612021.jpg
Chaussures ,"Fass, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5532851_uploaded_image1_1758229466.jpg
Chaussures homme ,"Fass, Dakar, Sénégal",26 500CFA,https://images.coinafrique.com/thumb_5530971_uploaded_image1_1758143063.jpg
Baskets Nike Airzoom 95,"Mbao, Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5573580_uploaded_image1_1760450227.jpg
Chaussures Jordan,"Fass, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5528770_uploaded_image1_1758046694.jpg
Chaussures de ville,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5571662_uploaded_image1_1760359156.jpg
Sandales homme,"Grand Yoff, Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5566807_uploaded_image1_1760037954.jpg
Chaussures Nike ,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5565350_uploaded_image1_1759967990.jpg
Chaussures  homme,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5561080_uploaded_image1_1759759275.jpg
Chaussures homme ,"Louga, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5559847_uploaded_image1_1759687278.jpg
Baskets Air Max,"Colobane, Dakar, Sénégal",18 000CFA,https://images.coinafrique.com/thumb_5559514_uploaded_image1_1759668700.jpg
Chaussures de ville,"Colobane, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5559505_uploaded_image1_1759668412.jpg
Mocassins homme,"Dakar Plateau, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5559079_uploaded_image1_1759624285.jpg
Chaussures blanc ,"Fass, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5513844_uploaded_image1_1757287356.jpg
Chayssures pour homme ,"Fass, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5513842_uploaded_image1_1757287086.jpg
Chaussures  homme ,"Fass, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5513838_uploaded_image1_1757286788.jpg
Baskets Jordan 6 ,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5558712_uploaded_image1_1759598702.jpg
Baskets Jordan One,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5558696_uploaded_image1_1759598221.jpg
