type,adress,price,link_image
Costume africain,"Parcelle Assainies, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5486782_uploaded_image1_1755802563.jpg
Vêtements pour hommes,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5482978_uploaded_image1_1755634531.jpg
T-shirt ,"Mariste, Dakar, Sénégal",2 000CFA,https://images.coinafrique.com/thumb_5479472_uploaded_image1_1755439676.jpg
Ensemble costume africain homme,"Rufisque, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5478956_uploaded_image1_1755391742.jpg
T-shirt manche courte ,"Rufisque, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5478947_uploaded_image1_1755391084.jpg
veste pour homme,"Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5478474_uploaded_image1_1755362528.jpg
Short homme,"Ouest Foire, Dakar, Sénégal",4 500CFA,https://images.coinafrique.com/thumb_5473116_uploaded_image1_1755058803.jpg
Jean Oversized,"Ouest Foire, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5473114_uploaded_image1_1755058671.jpg
Chemises homme,"Almadies, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5471098_uploaded_image1_1754942626.jpg
Tee-shirt en coton pour homme,"Grand Dakar, Dakar, Sénégal",4 000CFA,https://images.coinafrique.com/thumb_5463022_uploaded_image1_1754517200.jpg
Chemise Lin homme ,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5460353_uploaded_image1_1754398640.jpg
Chemise Lin homme ,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5460351_uploaded_image1_1754398586.jpg
T-shirt Et casquette ,"Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5460350_uploaded_image1_1754398524.jpg
Emsemble pour la pluie,"Colobane, Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5409459_uploaded_image1_1751803940.jpg
Vêtements pour la pluie,"Colobane, Dakar, Sénégal",3 000CFA,https://images.coinafrique.com/thumb_5409451_uploaded_image1_1751803676.jpg
Para pluie ,"Colobane, Dakar, Sénégal",3 000CFA,https://images.coinafrique.com/thumb_5409455_uploaded_image1_1751803857.jpg
Polo Jules,"HLM, Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5454591_uploaded_image1_1754095820.jpg
Pull Adidas,"HLM, Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5454584_uploaded_image1_1754095564.jpg
Vêtement  homme,"Grand Yoff, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5450673_uploaded_image1_1753925204.jpg
Ensemble  pour homme ,"Fass, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5402965_uploaded_image1_1751479836.jpg
Chaussures homme,"Mermoz-Sacré Coeur, Dakar, Sénégal",2 500CFA,https://images.coinafrique.com/thumb_5446085_uploaded_image1_1753712713.jpg
Tee-shirts,"Grand Dakar, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5439394_uploaded_image1_1753370451.jpg
Pantalon kakis et chemise ,"Guediawaye, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5438939_uploaded_image1_1753357818.jpg
Pantalon Kaki,"Keur Massar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5438593_uploaded_image1_1753346732.jpg
Polo,"Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5435176_uploaded_image3_1753183801.jpeg
Polo,"Dakar, Sénégal",6 500CFA,https://images.coinafrique.com/thumb_5435168_uploaded_image1_1753183652.jpg
Ensemble homme ,"Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5435162_uploaded_image1_1753183547.jpg
Chemise pour homme ,"Fass, Dakar, Sénégal",12 500CFA,https://images.coinafrique.com/thumb_5389835_uploaded_image1_1750768990.jpg
Sous-vêtements homme ,"Medina, Dakar, Sénégal",4 000CFA,https://images.coinafrique.com/thumb_5422821_uploaded_image1_1752506033.jpg
Pantalon Kaki ,"Dakar Plateau, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5422160_uploaded_image1_1752480748.jpg
Pantalon jean,"Dakar Plateau, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5422157_uploaded_image1_1752480645.jpg
Lacoste homme,"Dakar Plateau, Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg
